172	232	134	83	135	58	29	9.87	9.54	11.75
108	123	94	40	1163	28	22	1.48	1.41	1.62
1									
0.15	1								
0.3	0.09	1							
0	0.17	0.21	1						
0.07	0.05	0.15	0.23	1					
-0.16	0	-0.05	0.05	0.3	1				
-0.01	0.12	0.12	0.25	0.17	0.21	1			
-0.09	-0.12	-0.02	0.26	-0.1	0.04	0.13	1		
-0.16	0.01	-0.06	0.22	-0.05	0.13	0.17	0.65	1	
-0.04	0.01	0.04	0.22	-0.02	0.13	0.18	0.59	0.51	1
